,Area,Perimeter,Compactness,KernelLength,KernelWidth,AsymmetryCoef,KernelGrooveLength,Label
,13.84,13.94,0.8955,5.324,3.379,2.259,4.805,1
,14.09,14.41,0.8529,5.717,3.186,3.92,5.299,1
,14.11,14.18,0.882,5.541,3.221,2.754,5.038,1
,13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,1
,15.5,14.86,0.882,5.877,3.396,4.711,5.528,1
,14.38,14.21,0.8951,5.386,3.312,2.462,4.956,1
,14.99,14.56,0.8883,5.57,3.377,2.958,5.175,1
,14.86,14.67,0.8676,5.678,3.258,2.129,5.351,1
,14.28,14.17,0.8944,5.397,3.298,6.685,5.001,1
,15.26,14.85,0.8696,5.714,3.242,4.543,5.314,1
,13.22,13.84,0.868,5.395,3.07,4.157,5.088,1
,13.16,13.55,0.9009,5.138,3.201,2.461,4.783,1
,14.37,14.39,0.8726,5.569,3.153,1.464,5.3,1
,16.63,15.46,0.8747,6.053,3.465,2.04,5.877,1
,14.59,14.28,0.8993,5.351,3.333,4.185,4.781,1
,16.14,14.99,0.9034,5.658,3.562,1.355,5.175,1
,12.88,13.5,0.8879,5.139,3.119,2.352,4.607,1
,13.8,14.04,0.8794,5.376,3.155,1.56,4.961,1
,14.88,14.57,0.8811,5.554,3.333,1.018,4.956,1
,15.05,14.68,0.8779,5.712,3.328,2.129,5.36,1
,18.75,16.18,0.8999,6.111,3.869,4.188,5.992,2
,18.94,16.49,0.875,6.445,3.639,5.064,6.362,2
,18.98,16.66,0.859,6.549,3.67,3.691,6.498,2
,19.06,16.45,0.8854,6.416,3.719,2.248,6.163,2
,18.95,16.42,0.8829,6.248,3.755,3.368,6.148,2
,20.2,16.89,0.8894,6.285,3.864,5.173,6.187,2
,15.38,14.9,0.8706,5.884,3.268,4.462,5.795,2
,19.13,16.31,0.9035,6.183,3.902,2.109,5.924,2
,18.43,15.97,0.9077,5.98,3.771,2.984,5.905,2
,20.24,16.91,0.8897,6.315,3.962,5.901,6.188,2
,18.17,16.26,0.8637,6.271,3.512,2.853,6.273,2
,20.03,16.9,0.8811,6.493,3.857,3.063,6.32,2
,18.59,16.05,0.9066,6.037,3.86,6.001,5.877,2
,19.57,16.74,0.8779,6.384,3.772,1.472,6.273,2
,16.23,15.18,0.885,5.872,3.472,3.769,5.922,2
,19.11,16.26,0.9081,6.154,3.93,2.936,6.079,2
,16.41,15.25,0.8866,5.718,3.525,4.217,5.618,2
,18.14,16.12,0.8772,6.059,3.563,3.619,6.011,2
,18.81,16.29,0.8906,6.272,3.693,3.237,6.053,2
,19.15,16.45,0.889,6.245,3.815,3.084,6.185,2
,11.19,13.05,0.8253,5.25,2.675,5.813,5.219,3
,10.91,12.8,0.8372,5.088,2.675,4.179,4.956,3
,11.75,13.52,0.8082,5.444,2.678,4.378,5.31,3
,12.44,13.59,0.8462,5.319,2.897,4.924,5.27,3
,10.82,12.83,0.8256,5.18,2.63,4.853,5.089,3
,12.62,13.67,0.8481,5.41,2.911,3.306,5.231,3
,12.38,13.44,0.8609,5.219,2.989,5.472,5.045,3
,12.7,13.71,0.8491,5.386,2.911,3.26,5.316,3
,11.27,12.97,0.8419,5.088,2.763,4.309,5.0,3
,11.49,13.22,0.8263,5.304,2.695,5.388,5.31,3
,11.43,13.13,0.8335,5.176,2.719,2.221,5.132,3
,12.22,13.32,0.8652,5.224,2.967,5.469,5.221,3
,10.83,12.96,0.8099,5.278,2.641,5.182,5.185,3
,11.87,13.02,0.8795,5.132,2.953,3.597,5.132,3
,12.79,13.53,0.8786,5.224,3.054,5.483,4.958,3
,10.8,12.57,0.859,4.981,2.821,4.773,5.063,3
,12.19,13.36,0.8579,5.24,2.909,4.857,5.158,3
,11.14,12.79,0.8558,5.011,2.794,6.388,5.049,3
,12.76,13.38,0.8964,5.073,3.155,2.828,4.83,3
,12.13,13.73,0.8081,5.394,2.745,4.825,5.22,3
